bin,mean_pred,obs_rate,n
"(0.0714, 0.305]",0.2663419002929343,0.2606310013717421,729
"(0.305, 0.33]",0.31836967195724514,0.3090659340659341,728
"(0.33, 0.349]",0.3398106385397383,0.35714285714285715,728
"(0.349, 0.376]",0.36240375030128275,0.34705075445816186,729
"(0.376, 0.437]",0.40197286106675895,0.42032967032967034,728
"(0.437, 0.656]",0.6111193389726273,0.6208791208791209,728
"(0.656, 0.677]",0.6678419186783284,0.6858710562414266,729
"(0.677, 0.695]",0.685879103523934,0.6428571428571429,728
"(0.695, 0.72]",0.7067488621087956,0.7087912087912088,728
"(0.72, 0.934]",0.743852010080925,0.7517146776406035,729
