duplicate_point_keys,missing_server,bad_point_victor,impossible_standard_scores,match_id
0,0,0,0,2023-wimbledon-1301
0,0,0,0,2023-wimbledon-1302
0,0,0,0,2023-wimbledon-1303
0,0,0,0,2023-wimbledon-1304
0,0,0,0,2023-wimbledon-1305
0,0,0,0,2023-wimbledon-1306
0,0,0,0,2023-wimbledon-1307
0,0,0,0,2023-wimbledon-1308
0,0,0,0,2023-wimbledon-1309
0,0,0,0,2023-wimbledon-1310
0,0,0,0,2023-wimbledon-1311
0,0,0,0,2023-wimbledon-1312
0,0,0,0,2023-wimbledon-1313
0,0,0,0,2023-wimbledon-1314
0,0,0,0,2023-wimbledon-1315
0,0,0,0,2023-wimbledon-1316
0,0,0,0,2023-wimbledon-1401
0,0,0,0,2023-wimbledon-1402
0,0,0,0,2023-wimbledon-1403
0,0,0,0,2023-wimbledon-1404
0,0,0,0,2023-wimbledon-1405
0,0,0,0,2023-wimbledon-1406
0,0,0,0,2023-wimbledon-1407
0,0,0,0,2023-wimbledon-1408
0,0,0,0,2023-wimbledon-1501
0,0,0,0,2023-wimbledon-1502
0,0,0,0,2023-wimbledon-1503
0,0,0,0,2023-wimbledon-1504
0,0,0,0,2023-wimbledon-1601
0,0,0,0,2023-wimbledon-1602
0,0,0,0,2023-wimbledon-1701
